p0,p1,p2,p3,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,time
1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,10926324
1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,9574596
1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,10920358
1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,9582200
1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,9569511
0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,10920695
0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,10926116
0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,9574874
0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,9561582
0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,10928761
1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,9577050
1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,10926418
1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,10919530
1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,10926916
1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,9557387
0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,10383788
0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,10924455
0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,9576731
0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,10918960
0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,10908893
1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,10929468
1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,10932815
1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,9570266
1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,10916668
1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,10921895
0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,10928092
0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,9563967
0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,10917958
0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,10892564
0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,10922985
1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,9568163
1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,10925313
1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,11150351
1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,10926019
1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,10918753
0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,9574940
0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,10926106
0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,10922006
0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,10952766
0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,9566331
1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,9570527
1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,9903655
1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,10927861
1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,9575336
1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,9577367
0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,9578761
0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,10922066
0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,9570286
0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,9573078
0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,10923331
1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,9574036
1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,10933394
1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,10922904
1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,10910423
1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,10922515
0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,10926336
0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,9577137
0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,10928284
0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,10932011
0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,9572106
1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,9572313
1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,10927576
1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,10907690
1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,10923094
1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,10929696
0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,10938642
0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,10922180
0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,10921767
0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,10923864
0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,10929192
1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,10920957
1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,10932527
1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,9829457
1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,9565684
1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,9576268
0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,10599859
0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,9574510
0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,10924337
0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,9574696
0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,9571442
1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,10929545
1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,10925895
1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,10922431
1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,10931669
1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,10922868
0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,9933738
0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,10922723
0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,10931874
0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,10929748
0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,10924746
1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,10926299
1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,10928903
1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,10926207
1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,9563051
1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,10918901
0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,10919732
0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,9576392
0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,10921239
0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,9569506
0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,10923579
1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,10920720
